,crystal_type,species,model,lattice_constant_bcc,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_bcc,thermal_expansion_coeff_fcc,surface_energy_100_bcc,surface_energy_100_fcc,surface_energy_110_bcc,surface_energy_110_fcc,surface_energy_111_bcc,surface_energy_111_fcc,surface_energy_121_bcc,surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_bcc,relaxed_formation_potential_energy_fcc,relaxed_formation_potential_energy_hcp,unrelaxed_formation_potential_energy_bcc,unrelaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_hcp,vacancy_migration_energy_bcc,vacancy_migration_energy_fcc,vacancy_migration_energy_hcp,vacancy_migration_energy_sc,relaxation_volume_bcc,relaxation_volume_fcc,relaxation_volume_hcp,coeff
104,fcc,Cu,MEAM_LAMMPS_KimSeolJi_2017_PtCu__MO_070797404269_002,3.0608146265149117,3.9173716008663177,2.5509509295225143,176.6635149910669,181.61520510106175,131.99613047892677,197.63185245025952,104.59916885976556,20.57092109720058,327.458315871663,159.77204082480714,-55.701821133063305,-124.92608677012531,225.301533653571,507.392033702907,5.564479078902119,5.770000000310329,5.09902355731627,,9.818032333444332e-06,,0.11815298503481526,,0.12170027220060022,,0.10118763193177498,,0.11858514671305406,0.00366784306513713,0.00365786094337388,0.0280865200052602,0.5459765625,0.0297999804821524,1.47617187500003,,1.8113431572318417,,,1.837933535732191,,,1.6412480357863577,,,,3.7341954918015543,,2.4208584794312125
105,fcc,Cu,MEAM_LAMMPS_JeongParkDo_2018_PdCu__MO_353393547686_002,2.850979268550873,3.613315671682358,2.352952927350998,138.37035079494706,141.98526934453355,103.19418983725906,119.74182093350225,81.77530584938852,16.082285884940234,159.3134863326517,124.90858842483404,-43.54752006582897,96.48407971953782,176.1386311839326,396.6776096434351,3.45864952775016,3.5400000000754215,3.12834374233591,,1.6822769276530493e-05,,0.0852020171930583,,0.08775996672820206,,0.0729680294612001,,0.08551365605749223,0.00264491006442995,0.00263772787797111,0.0180530785580053,0.507441406249999,0.0193606090469451,1.49994140624999,,1.111291830863101,,,1.1276056510003247,,,1.0864729330053504,,,,2.9320342391905054,,1.652144857215993
106,fcc,Cu,MEAM_LAMMPS_AgrawalMirzaeifar_2021_CuC__MO_028979335952_002,2.864681914448738,3.6150126680731773,2.4142188131809235,140.5508462516353,142.07040185337848,82.94845399132821,116.94935214470537,72.24322552462378,-40.382371880873805,105.12349182259057,118.92552720918336,14.347917739838877,211.40555510972482,188.3601511417688,220.14952649430688,3.5179512443476897,3.540000000259167,2.607271823544207,,1.418466167566948e-05,,0.15017910704240764,,0.15460407075972107,,0.12751208995617935,,0.14894631593826474,0.00396732885157793,0.00394647124681015,0.0218902460092633,0.512382812500002,0.0238091129220253,1.49792968749998,,2.264377012726977,,,2.3207279703865984,,,1.1921132026865169,,,,2.0104155272371265,,2.334964601281448
107,fcc,Cu,MEAM_LAMMPS_Wagner_2007_Cu__MO_313717476091_002,2.7910300940275192,3.619999974966049,2.328075870871544,129.18467502075734,138.52203927183749,96.86480967199175,132.94881544337485,75.94708763556582,18.06734160918135,111.71393476833767,122.6630937066664,-49.120153171610944,164.12615552559672,170.23993040217965,388.83473535919717,3.4979798992680093,3.5400000000585203,3.335329855997627,,4.216645238296536e-06,,0.10310553160008547,,0.10036204384676639,,0.08814049360149029,,0.09830780825336109,0.00451673612767758,0.00449606544789445,0.0147454390846133,0.374560546874593,0.0174806915815691,1.37192382811984,,1.1019437193339536,,,1.1349999627764191,,,1.701969510476299,,,,2.9059410994703914,,1.9106441560177727
108,fcc,Cu,MEAM_LAMMPS_JelinekGrohHorstemeyer_2012_AlSiMgCuFe__MO_262519520678_002,2.871003895998001,3.6200000196695328,2.328866384923458,135.76840239223495,138.7556931420154,97.12816522150791,83.05772695129274,76.07076820120676,19.754738394592025,171.9280351218941,121.88663327945272,-48.90893347210235,63.44913693291664,172.49381286714075,389.20236260872844,3.4357558003210213,3.540000000234074,3.331684044107363,,1.5985726384653592e-05,,0.10315983563740493,,0.10064280513404235,,0.0880545640007722,,0.1002399642685895,0.00451043274237539,0.00449000442407452,0.0152862340882368,0.533750000000002,0.017372864021203,1.50000000000002,,1.1025214228074505,,,1.1351642777354174,,,0.8657957547021189,,,,2.89618830397256,,1.544302144914091
109,fcc,Cu,MEAM_LAMMPS_WangOhLee_2020_CuCo__MO_694335101831_002,2.850979268550873,3.6133156418800354,2.3529529124498367,138.37176511585437,141.98491500713462,103.19422014565681,119.74225257163489,81.77531702963044,16.082288218184942,159.3148982704776,124.90832416333247,-43.54753052028109,96.4854988066079,176.13809669473895,396.67772147753266,3.4586495280974674,3.5400000000528578,3.1283437427119236,,1.6823017911573166e-05,,0.08520201780651257,,0.08775996790846699,,0.07296803020099961,,0.08551365693602558,0.00264491194190075,0.00263772882584475,0.018053061257082,0.507441406250001,0.0193605861741786,1.49994140625,,1.1112917946632348,,,1.127605598126593,,,1.0865866908571302,,,,2.932266143897932,,1.6528629719699506
110,fcc,Cu,MEAM_LAMMPS_WangOhLee_2020_CuMo__MO_486450342170_002,2.850979268550873,3.6133156418800354,2.3529529124498367,138.37176511585437,141.98491500713462,103.19422014565681,119.74225257163489,81.77531702963044,16.082288218184942,159.3148982704776,124.90832416333247,-43.54753052028109,96.4854988066079,176.13809669473895,396.67772147753266,3.4586495280974674,3.5400000000528578,3.1283437427119236,,1.6823017911573166e-05,,0.08520201780651257,,0.08775996790846699,,0.07296803020099961,,0.08551365693602558,0.00264491194190075,0.00263772882584475,0.018053061257082,0.507441406250001,0.0193605861741786,1.49994140625,,1.1112917946632348,,,1.127605598126593,,,1.0865866908571302,,,,2.932266143897932,,1.6528629719699506
111,fcc,Cu,MEAM_LAMMPS_AsadiZaeemNouranian_2015_Cu__MO_390178379548_002,2.849543698132038,3.6203866973519325,2.338937819004059,139.66328979308426,143.6396372517932,97.39788895423939,108.7957475122006,81.85247027209194,19.135825867881756,167.15594339862972,127.01563661764656,-54.29262531051186,84.67798258199338,176.88763852008654,400.7789174837419,3.462565293066935,3.540000000040205,3.2186642609068494,,1.50745975785468e-05,,0.07913713759349308,,0.08028624036525864,,0.0678468743803386,,0.07884541432874045,0.00120701126023126,0.00120253699746374,0.0134997534719985,0.505390625,0.0141044795397346,1.49998046875001,,0.9196513135424699,,,0.933804893637641,,,1.0081352687044667,,,,2.925352179654111,,1.4979639631200332
112,fcc,Cu,MEAM_LAMMPS_KimLee_2008_CuZr__MO_407917731909_001,2.850979268550873,3.613315649330616,2.3529528975486755,138.3690659621637,141.9869761189097,103.19420212668777,119.74136618703956,81.77532470082745,16.082289412784917,159.31219682074703,124.90986970450899,-43.547536218833834,96.48280424499701,176.14118894771116,396.677678817731,3.458649527867062,3.540000000422575,3.128343742557982,,1.6886698764515194e-05,,0.08520201775319929,,0.08775996784320324,,0.07296803007140512,,0.08551365698696937,0.00264491066450722,0.00263772827109477,0.0180530765510745,0.50744140625,0.0193606037239707,1.49994140625,,1.1112918778199723,,,1.1276056117102085,,,1.0865819232644933,,,,2.9317774324946275,,1.6494650293475348
113,fcc,Cu,MEAM_LAMMPS_LeeShimBaskes_2003_Cu__MO_087820130586_001,2.8509792760014534,3.613315634429455,2.3529529199004173,138.36993681182767,141.98597901231489,103.19419541679589,119.74177314062149,81.77533221718535,16.082287766694247,159.31307905251614,124.90912265231111,-43.54752653354422,96.48365233045074,176.13969173232246,396.6776393174761,3.458649527826576,3.5400000001349947,3.128343742475133,,1.6870490504811833e-05,,0.0852020180337766,,0.08775996833643578,,0.07296803045045466,,0.08551365733061347,0.00264491168991638,0.00263772871772311,0.0180530596460529,0.50744140625,0.0193605849403935,1.49994140624998,,1.1112918438713209,,,1.1276055849940865,,,1.0864984234791504,,,,2.931503674877364,,1.650357524130203
